tweet_id,tweet_text,retweet_count,favorite_count,text_range,created_at
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,8215,37684,"[0, 85]",Tue Aug 01 16:23:56 +0000 2017
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",6076,32372,"[0, 138]",Tue Aug 01 00:17:27 +0000 2017
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,4017,24378,"[0, 121]",Mon Jul 31 00:18:03 +0000 2017
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,8370,41007,"[0, 79]",Sun Jul 30 15:58:51 +0000 2017
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",9075,39208,"[0, 138]",Sat Jul 29 16:00:24 +0000 2017
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,3010,19710,"[0, 138]",Sat Jul 29 00:08:17 +0000 2017
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",1989,11525,"[0, 140]",Fri Jul 28 16:27:12 +0000 2017
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,18247,63568,"[0, 118]",Fri Jul 28 00:22:40 +0000 2017
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,4132,27094,"[0, 122]",Thu Jul 27 16:25:51 +0000 2017
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,7134,31067,"[0, 133]",Wed Jul 26 15:59:51 +0000 2017
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,7093,29882,"[0, 130]",Wed Jul 26 00:31:25 +0000 2017
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,4817,27082,"[0, 107]",Tue Jul 25 16:11:53 +0000 2017
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,9714,46824,"[0, 106]",Tue Jul 25 01:55:32 +0000 2017
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,4384,26398,"[0, 91]",Tue Jul 25 00:10:02 +0000 2017
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,2179,14722,"[0, 118]",Mon Jul 24 17:02:04 +0000 2017
889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,5201,24577,"[0, 138]",Mon Jul 24 00:19:32 +0000 2017
888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,4359,28359,"[0, 86]",Sun Jul 23 00:22:39 +0000 2017
888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,4140,24877,"[0, 128]",Sat Jul 22 16:56:37 +0000 2017
888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,3423,19310,"[0, 87]",Sat Jul 22 00:23:06 +0000 2017
